NAME,B01003_001E,B25064_001E,B25077_001E,B07003_001E,B07003_004E,B07003_008E,B07003_010E,B11016_001E,B25003_002E,B25003_003E,zip,moved_different_house_pct,median_rent_usd,population,zillow_home_value_index,zillow_rent_index,B25064_001E_suppressed,B25077_001E_suppressed,median_rent_usd_suppressed
ZCTA5 33184,20850,1976.0,364200.0,20810,19432,447,32,6548,4572,1976,33184,0.0662181643440653,1976.0,20850,570272.085487892,2858.333333333333,False,False,False
ZCTA5 33185,29530,2642.0,459800.0,29255,27681,520,48,8974,7262,1712,33185,0.0538027687574773,2642.0,29530,674531.0497545387,3525.555555555555,False,False,False
ZCTA5 33186,68750,1961.0,391500.0,67972,62890,2002,244,23284,15675,7609,33186,0.0747660801506502,1961.0,68750,524032.46199085546,2613.3375104427737,False,False,False
ZCTA5 33187,19346,2269.0,467900.0,19174,17721,558,80,5656,4953,703,33187,0.0757797016793574,2269.0,19346,717925.6653060889,3456.666666666667,False,False,False
ZCTA5 33189,24575,1496.0,357200.0,24398,22189,739,147,8431,4972,3459,33189,0.090540208213788,1496.0,24575,554054.5256170727,2689.349867724868,False,False,False
ZCTA5 33190,16909,1663.0,339000.0,16700,13751,1282,0,5373,2450,2923,33190,0.1765868263473053,1663.0,16909,436289.91821852187,2599.333333333333,False,False,False
ZCTA5 33193,47116,1697.0,384600.0,46995,43137,1575,107,15643,9277,6366,33193,0.0820938397701883,1697.0,47116,444387.8321485156,2468.769841269841,False,False,False
ZCTA5 33194,8617,2363.0,439500.0,8513,7756,148,299,1962,1576,386,33194,0.0889228239163632,2363.0,8617,570992.5725511562,,False,False,False
ZCTA5 33196,54187,2011.0,428400.0,53631,47585,2209,131,16980,11447,5533,33196,0.1127333072290279,2011.0,54187,567280.1136530304,2520.628472222222,False,False,False
ZCTA5 33039,0,1663.0,380100.0,0,0,0,0,0,0,0,33039,,1663.0,0,,,True,True,True
ZCTA5 33054,31590,1244.0,267300.0,31289,28633,1047,300,10281,4939,5342,33054,0.0848860621943814,1244.0,31590,420745.5669693744,2662.5,False,False,False
ZCTA5 33055,37977,1546.0,307100.0,37702,33945,1482,310,11898,8916,2982,33055,0.099649885947695,1546.0,37977,504885.8693866418,3080.555555555555,False,False,False
ZCTA5 33056,37274,1560.0,288000.0,37017,34487,623,508,11593,7522,4071,33056,0.0683469757138612,1560.0,37274,480856.0975765718,2730.769841269841,False,False,False
